bin_predicted,bin_actual,gap
0.06191488161717168,0.0875,0.025585118382828315
0.14424211497729195,0.18292682926829268,0.03868471429100073
0.2487078419348087,0.3076923076923077,0.05898446575749902
0.3611187668222852,0.532051282051282,0.17093251522899683
0.43872471528546897,0.5656108597285068,0.1268861444430378
0.5536465311612625,0.6771653543307087,0.12351882316944618
0.6506426726203379,0.7672955974842768,0.11665292486393886
0.7530373590322776,0.812,0.05896264096772241
0.8581172672767075,0.8929961089494164,0.03487884167270894
0.9477526674003742,0.9322671683913453,0.015485499009028958
